,Trust_Score,Kms_Driven,Year,RegState_Codes,Brand_Codes,Fuel_Codes,Trans_Codes,Model_Name,Price
2598,7.1,35498,2017,0,25,0,2,Octavia,14.24400771369578
2599,6.7,58455,2014,0,6,0,2,Figo,12.57238450487595
2600,6.5,41142,2017,0,16,2,2,Alto,12.47189247112482
2601,6.7,41222,2014,0,16,2,2,Swift,12.826165145184207
2602,7.0,39858,2014,0,13,0,2,XUV500,13.502304160478529
2603,6.7,42548,2017,0,16,2,2,Ertiga,13.422001194265222
2604,7.5,38410,2017,0,6,0,2,EcoSport,13.760592808430692
2605,7.2,25698,2017,0,21,0,2,Terrano,13.766888429676023
2606,7.0,40112,2014,0,25,0,2,Rapid,13.003681187630011
2607,6.6,36666,2014,0,8,0,2,Grand,12.845866516590847
2608,6.7,32855,2014,0,8,0,2,Verna,13.419628386495615
2609,6.7,39088,2013,0,16,0,2,Ertiga,13.107907391314278
2610,6.8,45255,2017,0,27,0,2,Innova,14.489820934670387
2611,6.9,42585,2017,0,23,0,2,Captur,13.9666355220698
2612,6.7,42555,2017,0,23,0,2,Captur,13.971623311665061
2613,6.9,42365,2017,0,27,0,2,Innova,14.232596547972589
2614,7.2,14500,2018,0,27,0,2,Innova,14.530293977843575
2615,6.8,18965,2018,0,8,0,2,Creta,14.195201001608366
2616,7.0,19895,2017,0,10,0,2,Compass,14.231759972503623
2617,7.1,15695,2018,0,27,0,2,Innova,14.530293977843575
2618,7.5,41690,2016,0,7,2,2,Jazz,13.231449145684373
2619,7.2,15622,2018,0,27,0,2,Innova,14.530293977843575
2620,7.3,21452,2013,0,20,0,2,Pajero,14.09501175814728
2621,6.7,41453,2014,0,8,2,2,Eon,12.283843543828631
2622,6.6,81780,2011,0,2,0,2,Beat,12.22532610245206
2623,6.8,59633,2012,0,27,0,2,Innova,13.397738023234055
2624,6.5,58955,2016,0,16,2,2,Swift,13.164230585498515
2625,7.1,58954,2012,0,28,0,2,Vento,13.086255255110293
2626,6.5,41574,2017,0,16,2,2,Swift,13.17263244745316
2627,6.7,46358,2012,0,16,2,2,Ritz,12.27563602091549
2628,6.8,21452,2018,0,10,0,2,Compass,14.605391450080809
2629,7.2,25869,2018,0,16,2,2,Baleno,13.485217391507776
2630,7.7,13652,2018,0,26,2,2,Tiago,13.111243783229156
2631,7.2,19665,2018,0,27,2,2,Innova,14.357833104602069
2632,6.6,25414,2018,0,7,2,2,City,13.727191781245406
2633,7.4,17858,2018,0,10,0,2,Compass,14.582962941226718
2634,7.0,20012,2018,0,8,0,2,I20,13.511415865642553
2635,7.1,29789,2018,0,10,0,2,Compass,14.538184501417557
2636,7.1,27895,2018,0,27,0,2,Innova,14.44127945574427
2637,6.9,39695,2017,0,8,2,2,Creta,13.907606486684672
2638,6.5,44784,2017,0,8,0,2,Creta,13.681012984451568
2639,6.9,47485,2017,0,8,2,2,Verna,13.68159966476709
2640,7.2,27885,2017,0,10,0,2,Compass,14.13057017194206
2641,7.2,23652,2014,0,6,2,2,EcoSport,13.403194535844351
2642,6.9,33623,2018,0,27,0,2,Innova,14.443277263042544
